time,bus1.v_a,bus1.v_b,bus1.v_c,bus2.v_a,bus2.v_b,bus2.v_c,line1.i_a,line1.i_b,line1.i_c
0.015479999999999858,152.25882953076561,-138.7670249487108,-13.66069173859127,137.64428795007206,-142.08344149633663,-13.764650871875221,7.4623160355236227,-13.129273344181547,7.3558309007772698
0.015499999999999858,152.79855561135449,-138.03948055261372,-14.927177997641477,141.26636678813924,-145.01976106808209,-18.634575943214383,7.5567106024413579,-13.141830599751675,7.2661519016270146
0.015519999999999857,153.33315456043596,-137.30592743648202,-16.194654301146294,145.68361845854099,-147.00516256551614,-22.560744173071747,7.6150829281655366,-13.13525450906975,7.1944460428249499
0.015539999999999856,153.85722514248752,-136.56367463329212,-17.460315927410491,137.93575166985585,-141.48161528050682,-18.985064064910503,7.6911459363202734,-13.13687603888274,7.1133868177360835
0.015559999999999855,154.37070811041878,-135.81270239428946,-18.724028969267387,144.00075413437978,-141.51963466872229,-20.977912491815566,7.7851748289012068,-13.147307010746966,7.0223670189056868
0.015579999999999854,154.87904525949889,-135.05574713354397,-19.988415351392668,151.19697135138571,-141.00920556076795,-22.429141062462225,7.8424604602356895,-13.139612642527531,6.9483259038381462
0.015599999999999854,155.37695889005397,-134.29019564331014,-21.250746920398793,145.61634866901332,-133.3491632522981,-16.737522946399572,7.9154966844394457,-13.140360290111882,6.8647007691771025
0.015619999999999853,155.8641708903977,-133.51594826249692,-22.510808828570944,152.84385158398734,-131.76957130353063,-17.132983437662027,8.0067595787296817,-13.150972396854653,6.7700739828125442
0.015639999999999852,156.3461636069228,-132.73580183518192,-23.771282004552447,160.8445869966298,-130.72337674650083,-18.068333898568074,8.0611563055243423,-13.143929745452789,6.6919694344930249
0.015659999999999851,156.81776821671551,-131.94724202437968,-25.029536314431571,155.01252653058765,-123.35937467006688,-12.692305946712228,8.13010572334621,-13.144815417016773,6.6048088857324689
0.01567999999999985,157.27847703325483,-131.15010114107903,-26.285287773830301,160.78271954045746,-122.77900715846791,-14.106203803679429,8.2183904466036779,-13.155750627055461,6.5064761268827462
